April 2011,11,None
April 2011,12,None
April 2011,13,None
April 2011,14,None
April 2011,15,None
April 2011,16,Yosuke Hanamura
April 2011,17,None
April 2011,18,Chie Satonaka
April 2011,19,None
April 2011,20,Yosuke Hanamura
April 2011,21,Kou Ichijo
April 2011,22,Yosuke Hanamura
April 2011,23,Kou Ichijo
April 2011,24,Yosuke Hanamura
April 2011,25,Eri Minami
April 2011,26,Yumi Ozawa
April 2011,27,None
April 2011,28,Yumi Ozawa
April 2011,29,None
April 2011,30,None
May 2011,1,Marie
May 2011,2,None
May 2011,3,Nanako Dojima
May 2011,4,Chie Satonaka
May 2011,5,Fox
May 2011,6,"Day: Eri Minami, Night: Ryotaro Dojima"
May 2011,7,None
May 2011,8,Marie
May 2011,9,None
May 2011,10,None
May 2011,11,None
May 2011,12,Yumi Ozawa
May 2011,13,Tohru Adachi
May 2011,14,None
May 2011,15,None
May 2011,16,None
May 2011,17,Yukiko Amagi
May 2011,18,"Day: Kou Ichijo, Night: Nanako Dojima"
May 2011,19,None
May 2011,20,None
May 2011,21,"Day: Eri Minami, Night: Ryotaro Dojima"
May 2011,22,"Day: Yukiko Amagi, Night: Ryotaro Dojima"
May 2011,23,"Day: Tohru Adachi, Night: Nanako Dojima"
May 2011,24,"Day: Yumi Ozawa, Night: Ryotaro Dojima"
May 2011,25,"Day: Kou Ichijo, Night: Tohru Adachi"
May 2011,26,Yumi Ozawa
May 2011,27,"Day: Eri Minami, Night: Tohru Adachi"
May 2011,28,Eri Minami
May 2011,29,Yosuke Hanamura
May 2011,30,"Day: Tohru Adachi, Night: Nanako Dojima"
May 2011,31,Yumi Ozawa
June 2011,1,Kou Ichijo
June 2011,2,Yumi Ozawa
June 2011,3,Fox
June 2011,4,None
June 2011,5,Nanako Dojima
June 2011,6,Ryotaro Dojima
June 2011,7,"Day: Kou Ichijo, Night: Nanako Dojima"
June 2011,8,None
June 2011,9,Sayoko Uehara
June 2011,10,"Day: Fox, Night: Sayoko Uehara"
June 2011,11,"Day: Kanji Tatsumi, Night: Nanako Dojima"
June 2011,12,Yukiko Amagi
June 2011,13,"Day: Eri Minami, Night: Ryotaro Dojima"
June 2011,14,Yumi Ozawa
June 2011,15,Sayoko Uehara
June 2011,16,Sayoko Uehara
June 2011,17,None
June 2011,18,None
June 2011,19,Kanji Tatsumi
June 2011,20,Eri Minami
June 2011,21,Nanako Dojima
June 2011,22,None
June 2011,23,None
June 2011,24,"Day: Eri Minami, Night: Sayoko Uehara"
June 2011,25,None
June 2011,26,"Day: Kanji Tatsumi, Night: Tohru Adachi"
June 2011,27,Chie Satonaka
June 2011,28,"Day: Chie Satonaka, Night: Nanako Dojima"
June 2011,29,"Day: Kanji Tatsumi, Night: Sayoko Uehara"
June 2011,30,"Day: Ai Ebihara, Night: Nanako Dojima"
July 2011,1,"Day: Fox, Night: Sayoko Uehara"
July 2011,2,"Day: Kanji Tatsumi, Night: Nanako Dojima"
July 2011,3,"Day: Yukiko Amagi, Night: Ryotaro Dojima"
July 2011,4,Tohru Adachi
July 2011,5,Chie Satonaka
July 2011,6,Ai Ebihara
July 2011,7,"Day: Ai Ebihara, Night: Sayoko Uehara"
July 2011,8,"Day: Fox, Night: Sayoko Uehara"
July 2011,9,Fox
July 2011,10,None
July 2011,11,Nanako Dojima
July 2011,12,"Day: Tohru Adachi, Night: Nanako Dojima"
July 2011,13,"Day: Ai Ebihara, Night: Nanako Dojima"
July 2011,14,"Day: Naoki Konishi, Night: Ryotaro Dojima"
July 2011,15,"Day: Ai Ebihara, Night: Nanako Dojima"
July 2011,16,"Day: Fox, Night: Ryotaro Dojima"
