April 2011,11,None
April 2011,12,None
April 2011,13,None
April 2011,14,None
April 2011,15,None
April 2011,16,Yosuke Hanamura
April 2011,17,None
April 2011,18,Chie Satonaka
April 2011,19,None
April 2011,20,Chie Satonaka
April 2011,21,Daisuke Nagase
April 2011,22,Yosuke Hanamura
April 2011,23,Daisuke Nagase
April 2011,24,Daisuke Nagase
April 2011,25,Eri Minami
April 2011,26,Ayane Matsunaga
April 2011,27,None
April 2011,28,None
April 2011,29,None
April 2011,30,None
May 2011,1,Daisuke Nagase
May 2011,2,None
May 2011,3,Nanako Dojima
May 2011,4,"Day: Chie Satonaka, Night: Nanako Dojima"
May 2011,5,Fox
May 2011,6,"Day: Eri Minami, Night: Nanako Dojima"
May 2011,7,"Day: Fox, Night: Nanako Dojima"
May 2011,8,Daisuke Nagase
May 2011,9,None
May 2011,10,None
May 2011,11,None
May 2011,12,None
May 2011,13,Eri Minami
May 2011,14,None
May 2011,15,None
May 2011,16,None
May 2011,17,Yukiko Amagi
May 2011,18,"Day: Yukiko Amagi, Night: Nanako Dojima"
May 2011,19,Daisuke Nagase
May 2011,20,"Day: Tohru Adachi, Night: Nanako Dojima"
May 2011,21,"Day: Eri Minami, Night: Nanako Dojima"
May 2011,22,"Day: Yosuke Hanamura, Night: Nanako Dojima"
May 2011,23,"Day: Ayane Matsunaga, Night: Nanako Dojima"
May 2011,24,"Day: Ayane Matsunaga, Night: Nanako Dojima"
May 2011,25,Tohru Adachi
May 2011,26,Ayane Matsunaga
May 2011,27,Eri Minami
May 2011,28,Eri Minami
May 2011,29,Yosuke Hanamura
May 2011,30,Tohru Adachi
May 2011,31,Ayane Matsunaga
June 2011,1,Yukiko Amagi
June 2011,2,None
June 2011,3,Fox
June 2011,4,Fox
June 2011,5,Tohru Adachi
June 2011,6,None
June 2011,7,Ayane Matsunaga
June 2011,8,None
June 2011,9,Kanji Tatsumi
June 2011,10,Tohru Adachi
June 2011,11,Kanji Tatsumi
June 2011,12,Kanji Tatsumi
June 2011,13,Eri Minami
June 2011,14,Fox
June 2011,15,Tohru Adachi
June 2011,16,None
June 2011,17,None
June 2011,18,None
June 2011,19,Kanji Tatsumi
June 2011,20,Ayane Matsunaga
June 2011,21,Fox
June 2011,22,None
June 2011,23,None
June 2011,24,"Day: Yosuke Hanamura, Night: Sayoko Uehara"
June 2011,25,None
June 2011,26,Kanji Tatsumi
June 2011,27,Chie Satonaka
June 2011,28,Yukiko Amagi
June 2011,29,"Day: Marie, Night: Sayoko Uehara"
June 2011,30,"Day: Daisuke Nagase, Night: Sayoko Uehara"
July 2011,1,None
July 2011,2,Eri Minami
July 2011,3,Kanji Tatsumi
July 2011,4,Ayane Matsunaga
July 2011,5,Chie Satonaka
July 2011,6,"Day: Yukiko Amagi, Night: Sayoko Uehara"
July 2011,7,"Day: Yosuke Hanamura, Night: Sayoko Uehara"
July 2011,8,"Day: Fox, Night: Sayoko Uehara"
July 2011,9,Fox
July 2011,10,None
July 2011,11,Ryotaro Dojima
July 2011,12,"Day: Fox, Night: Ryotaro Dojima"
July 2011,13,"Day: Ai Ebihara, Night: Ryotaro Dojima"
July 2011,14,"Day: Ai Ebihara, Night: Ryotaro Dojima"
July 2011,15,"Day: Ai Ebihara, Night: Sayoko Uehara"
July 2011,16,"Day: Fox, Night: Ryotaro Dojima"
July 2011,17,"Day: Hisano Kuroda, Night: Ryotaro Dojima"
July 2011,18,"Day: Naoki Konishi, Night: Ryotaro Dojima"
July 2011,19,None
July 2011,20,None
July 2011,21,None
July 2011,22,None
July 2011,23,Rise Kujikawa
July 2011,24,"Day: Hisano Kuroda, Night: Ryotaro Dojima"
